fold,epoch,loss
0,0,4.368463940997613
0,1,1.133847580609102
0,2,0.6974340936932119
0,3,0.5032068297108624
0,4,0.4165170503056739
0,5,0.3618702320063128
0,6,0.32536972638707795
0,7,0.3014513637690223
0,8,0.2758718665508903
0,9,0.27048273662538425
0,10,0.25906359194090683
0,11,0.24123626790826408
0,12,0.23734087270927542
0,13,0.22632865805658287
0,14,0.22886481239001893
0,15,0.21744788428405662
0,16,0.21775525941160523
0,17,0.20802886845651736
0,18,0.20638388954762726
0,19,0.2024810765787449
0,20,0.19830344800332642
0,21,0.19454055054304592
0,22,0.19401007778106924
0,23,0.19266291844978525
0,24,0.18859548265952286
0,25,0.18474938635139285
0,26,0.18520595603254145
0,27,0.18532093503504746
0,28,0.18220168814819565
0,29,0.18228519547823047
0,30,0.179591425598864
0,31,0.17494251389922894
0,32,0.1742409328537539
0,33,0.17470860953630776
0,34,0.1740424560455533
0,35,0.17129438768944746
0,36,0.17257755174968994
0,37,0.1685422955975904
0,38,0.1687278384265821
0,39,0.17010392493171422
1,0,4.299749478820927
1,1,1.179276828008672
1,2,0.6936216298776647
1,3,0.4947218368579815
1,4,0.4083979995712339
1,5,0.36252577541288267
1,6,0.31925864901213324
1,7,0.3074281995383739
1,8,0.28653932684744404
1,9,0.27224596814112795
1,10,0.2641883318828157
1,11,0.25236356175705843
1,12,0.2450071643452999
1,13,0.23740326299155054
1,14,0.2324427357812136
1,15,0.2232681967784269
1,16,0.22389682253037602
1,17,0.21708661467364715
1,18,0.21362989390578996
1,19,0.21154944939976458
1,20,0.20277835827193266
2,0,4.138505006343162
2,1,1.0980042960173686
2,2,0.6275204715298086
2,3,0.46809896798595485
2,4,0.39652658216083486
2,5,0.3463415873479956
2,6,0.31223544953423943
2,7,0.3020325645434955
2,8,0.27404475908774834
2,9,0.2759925203030619
2,10,0.2502878930204171
2,11,0.24249330226336346
2,12,0.23747825668300057
2,13,0.23076904428751155
2,14,0.2281827686317133
2,15,0.2181197171579989
2,16,0.2151221948661517
2,17,0.21182459328046516
2,18,0.20265385381868625
2,19,0.2071541275877457
2,20,0.201169377700849
2,21,0.20065252328953467
2,22,0.1943896739109207
2,23,0.19318707412220934
2,24,0.19141470219548506
2,25,0.18996399604971603
2,26,0.1860627355724749
2,27,0.18401996473811452
2,28,0.18320098751551145
2,29,0.18199718827128833
2,30,0.1800409737521389
2,31,0.1786476600620513
2,32,0.17715153683948967
3,0,4.7782380832832
3,1,1.1736388978457084
3,2,0.6955525286785968
3,3,0.49523422568860553
3,4,0.4091248795161422
3,5,0.36201860253405543
3,6,0.32199872289525855
3,7,0.29687409720426466
3,8,0.2786155465150245
3,9,0.2707413896443289
3,10,0.2637896580003651
3,11,0.24397567978927068
3,12,0.23844352230834284
3,13,0.23202697042520945
3,14,0.22658677738700875
3,15,0.22002661071603385
3,16,0.21652999797389527
3,17,0.21202555901361048
3,18,0.20668429876936087
3,19,0.2069562963499229
3,20,0.19991274110295557
3,21,0.19962601901121094
3,22,0.1962665924989347
3,23,0.19111484652462085
3,24,0.1899215004977538
3,25,0.18751643620070768
3,26,0.18612988784891654
3,27,0.1850467409318425
3,28,0.18174564046730257
3,29,0.18100010188474566
3,30,0.18040787351208848
3,31,0.17940253734483066
3,32,0.1754648500378326
3,33,0.1737932037504955
3,34,0.17349504004754873
3,35,0.17264750634167242
3,36,0.17076431938756034
3,37,0.17190997121325632
3,38,0.16907998384663742
3,39,0.16855946593118531
4,0,4.01391642082399
4,1,1.0066227402005876
4,2,0.6126993327031028
4,3,0.46549038932061676
4,4,0.3933284762265972
4,5,0.3408761001604366
4,6,0.3138361506366392
4,7,0.29203234848686205
4,8,0.2803103893186013
4,9,0.26235704419534067
4,10,0.25545879797361254
4,11,0.24623082752351638
4,12,0.23955175465296122
4,13,0.22980243432057368
4,14,0.22711116045607868
4,15,0.22177257746845097
4,16,0.2170289782224467
4,17,0.21194978462974184
4,18,0.20725164579176988
4,19,0.2051023063299366
4,20,0.20127744148479865
4,21,0.196459025487638
4,22,0.1965085169280645
4,23,0.19378757062494545
4,24,0.19218474666125096
4,25,0.19017826998881213
4,26,0.18754074171871615
4,27,0.18608170964149262
4,28,0.18168111512307716
4,29,0.18240984020822867
4,30,0.18094450581066723
4,31,0.17861731150742827
4,32,0.17598629635544286
4,33,0.1763762128764792
4,34,0.17501828935626265
4,35,0.17518645704425914
4,36,0.1731256459440504
4,37,0.1717198268634651
4,38,0.17241713669428155
4,39,0.17104360200860566
